complaint_id,date_received,province,district,operator,service_type,complaint_category,channel,description,customer_age,customer_gender,status,resolution_days,satisfaction_score
RURA-ICT-00887,01-08-2024,Northern Province,Rulindo,AIRTEL,Fixed Voice,Slow Internet Speed,Social Media,,62,Female,closed,11,
RURA-ICT-00075,2023-06-28,Southern Province,Muhanga,REG-ICT,Mobile Money,Billing Dispute,Walk-in,Received suspicious SMS asking for mobile money PIN.,19,Male,pending ,,
RURA-ICT-00791,2024-11-16,Northern Province,Gakenke,liquid telecom,Mobile Voice,Service Activation Delay,Social Media,Billed for services not subscribed to.,,Male,resolved,2,
RURA-ICT-00261,02-12-2024,Western Province,Nyamasheke,REG ICT,Fixed Internet,Slow Internet Speed,Web Portal,Received suspicious SMS asking for mobile money PIN.,73,Male,Closed,19,5
RURA-ICT-00440,12/08/2023,Northern Province,Gakenke,Liquid Telecom,Fixed Internet,Data Bundle Deduction Issue,Email,Complainant charged twice for the same data bundle.,40,F,OPEN,,1
RURA-ICT-00056,25-May-2024,Western Province,Karongi,Broadband Systems Corporation,Mobile Data/Internet,Customer Care Unresponsive,Email,,42,male,In Progress,29,
RURA-ICT-00789,2024-04-29,Kigali City,Nyarugenge,MTN RWANDA,SMS,Service Activation Delay,Social Media,No network coverage since yesterday evening.,,M,Pending,,2
RURA-ICT-00817,2024-02-17,Eastern Province,Bugesera,Broadband Systems Corporation,SMS,Billing Dispute,Web Portal,Received suspicious SMS asking for mobile money PIN.,26,Other,resolved,11,
RURA-ICT-00600,2023-06-22,Northern Province,Musanze,REG-ICT,Fixed Voice,Billing Dispute,Social Media,Billed for services not subscribed to.,210,Male,resolved,3,3
RURA-ICT-00204,01-Aug-2023,Kigali City,Gasabo ,BSC,Fixed Internet,Poor Network Quality,USSD,,49,F,Resolved,25,5
RURA-ICT-00603,08/08/2024,Kigali City,Nyarugenge,AIRTEL,Fixed Internet,Service Activation Delay,Web Portal,Received suspicious SMS asking for mobile money PIN.,-5,Male,resolved,22,
RURA-ICT-00764,30-Jun-2023,Kigali City,Kicukiro,BSC,Mobile Money,Mobile Money Transaction Failure,Web Portal,Complainant charged twice for the same data bundle.,30,female,resolved,22,
RURA-ICT-00801,05-25-2023,Northern Province,Gakenke,Airtel,Fixed Voice,SIM Registration Issue,Call Center,Received suspicious SMS asking for mobile money PIN.,37,Other,open,,
RURA-ICT-00133,07-Feb-2023,Western Province,Rusizi,,Fixed Voice,Network Outage,Walk-in,No network coverage since yesterday evening.,39,male,resolved,0,
RURA-ICT-00225,17/07/2023,Western Province,Ngororero,REG-ICT,Mobile Voice,Unsolicited SMS/Spam,Walk-in,Mobile money transfer deducted but recipient did not receive funds.,,F,OPEN,,4
RURA-ICT-00869,18/01/2023,Kigali City,Nyarugenge,AIRTEL,SMS,Mobile Money Transaction Failure,Walk-in,,61,Male,Closed,16,5
RURA-ICT-00534,13/09/2023,Northern Province,Gicumbi,M.T.N Rwanda,Mobile Voice,Mobile Money Transaction Failure,Web Portal,Complainant charged twice for the same data bundle.,55,F,resolved,3,
RURA-ICT-00718,2024-04-13,Eastern Province,Gatsibo,MTN RWANDA,Fixed Internet,Data Bundle Deduction Issue,Walk-in,Received suspicious SMS asking for mobile money PIN.,17,male,Open,,
RURA-ICT-00822,2024-05-30,Eastern Province,Kirehe,Airtel Rwanda,SMS,Mobile Money Transaction Failure,Walk-in,Delay of over a week in activating new fixed internet line.,68,M,In Progress,7,
RURA-ICT-00023,2024-01-09,Kigali City,Kicukiro,,Mobile Data/Internet,Data Bundle Deduction Issue,Walk-in,Received suspicious SMS asking for mobile money PIN.,42,Female,Open,,3
RURA-ICT-00378,06-24-2023,Eastern Province,Kirehe,MTN Rwanda,Fixed Internet,Poor Network Quality,Email,Customer care line not answering after multiple attempts.,32,F,Pending,,1
RURA-ICT-00457,22-Jan-2024,Western Province,Rutsiro,BSC,Mobile Voice,Unsolicited SMS/Spam,USSD,SIM card registered under wrong national ID.,28,Other,Open,,
RURA-ICT-00595,04-16-2024,Northern Province,Gakenke,,Mobile Data/Internet,Poor Network Quality,Social Media,Received unsolicited promotional SMS despite opt-out request.,53,Female,Open,,4
RURA-ICT-00847,01/04/2024,Western Province,Rutsiro,liquid telecom,Mobile Voice,Billing Dispute,Call Center,SIM card registered under wrong national ID.,75,Female,Resolved,10,
RURA-ICT-00279,18-Apr-2024,Northern Province,Musanze,BSC,Mobile Money,Billing Dispute,Web Portal,Customer care line not answering after multiple attempts.,55,Other,Resolved,5,1
RURA-ICT-00306,04-27-2024,Southern Province,Nyamagabe,REG ICT,Mobile Data/Internet,Customer Care Unresponsive,Email,Received suspicious SMS asking for mobile money PIN.,79,,Closed,22,3
RURA-ICT-00116,07-18-2024,Southern Province,Kamonyi,liquid telecom,Mobile Money,Poor Network Quality,Email,Billed for services not subscribed to.,54,F,Closed,5,5
RURA-ICT-00267,01-06-2023,Kigali City,Kicukiro,liquid telecom,Mobile Money,Billing Dispute,Walk-in,Received suspicious SMS asking for mobile money PIN.,35,M,In Progress,10,5
RURA-ICT-00765,02/10/2023,Eastern Province,Bugesera,broadband systems,Fixed Internet,Service Activation Delay,Walk-in,Received suspicious SMS asking for mobile money PIN.,68,M,Open,,3
RURA-ICT-00029,2024-02-20,Eastern Province,Gatsibo,broadband systems,Fixed Voice,Billing Dispute,USSD,Received suspicious SMS asking for mobile money PIN.,42,,In Progress,19,4
RURA-ICT-00681,2023-07-24,Southern Province,Muhanga,Airtel Rwanda,Fixed Voice,Billing Dispute,Email,Customer care line not answering after multiple attempts.,53,Other,closed,15,4
RURA-ICT-00191,2024-01-31,Western Province,Rutsiro,AIRTEL,Mobile Money,Service Activation Delay,Call Center,Customer care line not answering after multiple attempts.,25,M,Closed,29,6
RURA-ICT-00126,2023-08-22,Eastern Province,nyagatare,M.T.N Rwanda,Fixed Internet,Mobile Money Fraud/Scam,Web Portal,Delay of over a week in activating new fixed internet line.,37,,In Progress,21,
RURA-ICT-00414,18/01/2024,Eastern Province,Nyagatare,Broadband Systems Corporation,Mobile Data/Internet,Slow Internet Speed,Social Media,Internet speed far below advertised package.,40,female,OPEN,,2
RURA-ICT-00080,2023-03-29,Eastern Province,Ngoma,Liquid Telecom,Mobile Data/Internet,Service Activation Delay,Social Media,Complainant charged twice for the same data bundle.,63,Male,open,,5
RURA-ICT-00627,07-09-2023,Kigali City,GASABO,airtel rwanda,Fixed Internet,Mobile Money Fraud/Scam,USSD,Internet speed far below advertised package.,62,female,open,,0
RURA-ICT-00506,10-08-2024,Eastern Province,Rwamagana,Broadband Systems Corporation,Fixed Voice,Service Activation Delay,Walk-in,Customer reports repeated call drops in Rwamagana.,54,female,In Progress,0,5
RURA-ICT-00881,12-16-2024,Southern Province,Nyamagabe,Liquid Telecom Rwanda,Mobile Money,Unsolicited SMS/Spam,Call Center,Customer care line not answering after multiple attempts.,36,Female,Resolved,27,3
RURA-ICT-00322,04/02/2023,Southern Province,Nyaruguru,MTN Rwanda,Fixed Voice,Mobile Money Transaction Failure,Social Media,Mobile money transfer deducted but recipient did not receive funds.,28,Female,Pending,,3
RURA-ICT-00838,19/05/2024,Eastern Province,Bugesera,AIRTEL,Mobile Voice,Mobile Money Fraud/Scam,Social Media,Received suspicious SMS asking for mobile money PIN.,77,male,In Progress,9,
RURA-ICT-00468,2024-12-02,Northern Province,Gicumbi,REG ICT,Mobile Money,Service Activation Delay,Web Portal,,46,Other,Resolved,29,3
RURA-ICT-00178,2024-06-07,Northern Province,Gakenke,Liquid Telecom Rwanda,Fixed Internet,Slow Internet Speed,Web Portal,Received unsolicited promotional SMS despite opt-out request.,50,female,Pending,,1
RURA-ICT-00785,11-16-2023,Southern Province,Nyanza,AIRTEL,Fixed Internet,Data Bundle Deduction Issue,Web Portal,SIM card registered under wrong national ID.,43,Male,Pending,,3
RURA-ICT-00057,19-Jul-2024,Eastern Province,Rwamagana,M.T.N Rwanda,Mobile Data/Internet,Billing Dispute,Email,Customer reports repeated call drops in Rwamagana.,-5,Other,pending ,,2
RURA-ICT-00119,2024-01-15,Southern Province,Muhanga,liquid telecom,Mobile Money,SIM Registration Issue,Social Media,,75,F,OPEN,,
RURA-ICT-00842,11-07-2023,Southern Province,Ruhango,REG ICT,Fixed Voice,Mobile Money Fraud/Scam,Walk-in,Customer care line not answering after multiple attempts.,58,female,closed,10,4
RURA-ICT-00465,2024-05-23,Kigali City,Nyarugenge,REG-ICT,SMS,Service Activation Delay,USSD,Received suspicious SMS asking for mobile money PIN.,31,female,pending ,,-1
RURA-ICT-00596,11-24-2023,Northern Province,Gakenke,Liquid Telecom Rwanda,Fixed Voice,Service Activation Delay,Web Portal,Delay of over a week in activating new fixed internet line.,31,male,Open,,5
RURA-ICT-00365,04/07/2023,Southern Province,Muhanga,,Fixed Internet,Customer Care Unresponsive,Web Portal,Customer care line not answering after multiple attempts.,40,M,Pending,,
RURA-ICT-00585,2024-05-29,Eastern Province,Kayonza,airtel rwanda,Mobile Data/Internet,Billing Dispute,Walk-in,No network coverage since yesterday evening.,43,Male,Pending,,
RURA-ICT-00342,15/02/2023,Kigali City,Kicukiro,airtel rwanda,SMS,Unsolicited SMS/Spam,USSD,Customer care line not answering after multiple attempts.,63,Male,OPEN,,1
RURA-ICT-00549,29-Aug-2023,Eastern Province,Gatsibo,,Mobile Voice,Mobile Money Transaction Failure,Walk-in,Customer care line not answering after multiple attempts.,70,,Closed,29,3
RURA-ICT-00497,15-Dec-2024,Western Province,Rubavu ,BSC,Mobile Voice,Unsolicited SMS/Spam,USSD,Customer care line not answering after multiple attempts.,,male,Resolved,15,2
RURA-ICT-00209,20-Jan-2023,Kigali City,gasabo,Broadband Systems Corporation,Fixed Voice,Customer Care Unresponsive,Walk-in,,61,Other,pending ,,4
RURA-ICT-00019,17/03/2023,Southern Province,Ruhango,Liquid Telecom Rwanda,Mobile Voice,Unsolicited SMS/Spam,USSD,Complainant charged twice for the same data bundle.,32,female,In Progress,28,
RURA-ICT-00899,2024-06-16,Eastern Province,Kayonza,Broadband Systems Corporation,Mobile Money,Network Outage,Social Media,Complainant charged twice for the same data bundle.,57,,In Progress,20,
RURA-ICT-00085,04-24-2023,Western Province,Karongi,BSC,Mobile Data/Internet,Customer Care Unresponsive,Call Center,Internet speed far below advertised package.,78,male,Resolved,999,1
RURA-ICT-00103,09-21-2024,Kigali City,Nyarugenge,,Mobile Data/Internet,Billing Dispute,Email,Customer reports repeated call drops in Nyarugenge.,69,Male,resolved,2,3
RURA-ICT-00840,2023-07-18,Kigali City,Kicukiro,Liquid Telecom Rwanda,Fixed Internet,SIM Registration Issue,Web Portal,No network coverage since yesterday evening.,43,male,pending ,,3
RURA-ICT-00069,20-Aug-2023,Eastern Province,Bugesera,liquid telecom,Mobile Money,Poor Network Quality,Social Media,No network coverage since yesterday evening.,62,F,open,,1
RURA-ICT-00638,2023-01-13,Kigali City,gasabo,broadband systems,Fixed Internet,Poor Network Quality,Web Portal,No network coverage since yesterday evening.,18,F,pending ,,1
RURA-ICT-00271,2024-10-03,Northern Province,Gicumbi,REG-ICT,Mobile Voice,Billing Dispute,USSD,Customer reports repeated call drops in Gicumbi.,43,,pending ,,2
RURA-ICT-00169,16/08/2023,Western Province,Rubavu,BSC,Fixed Internet,Poor Network Quality,Call Center,Received suspicious SMS asking for mobile money PIN.,66,Other,open,,5
RURA-ICT-00539,30-Dec-2023,Kigali City,Gasabo,M.T.N Rwanda,Mobile Data/Internet,Slow Internet Speed,Walk-in,Received suspicious SMS asking for mobile money PIN.,72,Male,pending ,,
RURA-ICT-00608,09-19-2023,Western Province,Nyamasheke,Liquid Telecom Rwanda,Fixed Voice,Slow Internet Speed,Social Media,Received unsolicited promotional SMS despite opt-out request.,36,,open,,3
RURA-ICT-00048,15-Feb-2024,Eastern Province,Kirehe,Liquid Telecom Rwanda,Mobile Voice,Mobile Money Fraud/Scam,Social Media,Complainant charged twice for the same data bundle.,,M,open,,
RURA-ICT-00317,18/01/2024,Eastern Province,Ngoma,MTN RWANDA,Mobile Money,Slow Internet Speed,Walk-in,Received unsolicited promotional SMS despite opt-out request.,71,,Open,,
RURA-ICT-00878,14-Nov-2024,Kigali City,Nyarugenge,broadband systems,SMS,Slow Internet Speed,Social Media,Received unsolicited promotional SMS despite opt-out request.,,F,In Progress,25,1
RURA-ICT-00319,07-12-2023,Northern Province,Gicumbi,MTN RWANDA,SMS,Unsolicited SMS/Spam,Email,Customer care line not answering after multiple attempts.,,M,In Progress,0,
RURA-ICT-00303,22-Mar-2023,Northern Province,Burera,Airtel,SMS,SIM Registration Issue,Walk-in,Complainant charged twice for the same data bundle.,85,M,open,,3
RURA-ICT-00343,2024-12-11,Kigali City,Nyarugenge,MTN,SMS,Billing Dispute,Email,SIM card registered under wrong national ID.,76,M,Open,,5
RURA-ICT-00113,2023-08-18,Western Province,Nyamasheke,Liquid Telecom Rwanda,Fixed Voice,Service Activation Delay,Walk-in,Received unsolicited promotional SMS despite opt-out request.,33,Female,Resolved,0,5
RURA-ICT-00697,26-Oct-2024,Eastern Province,Nyagatare,Liquid Telecom Rwanda,Fixed Internet,Mobile Money Fraud/Scam,Email,Customer reports repeated call drops in Nyagatare.,70,Female,open,,
RURA-ICT-00500,12/06/2023,Southern Province,Kamonyi,Airtel Rwanda,Mobile Voice,SIM Registration Issue,Email,Billed for services not subscribed to.,80,M,Resolved,10,5
RURA-ICT-00438,10-13-2024,Eastern Province,Gatsibo,airtel rwanda,Mobile Data/Internet,Network Outage,Email,Internet speed far below advertised package.,,male,Resolved,29,
RURA-ICT-00823,07/06/2024,Eastern Province,Gatsibo,mtn rwanda,Mobile Voice,Slow Internet Speed,Web Portal,Received unsolicited promotional SMS despite opt-out request.,36,Other,resolved,27,
RURA-ICT-00686,2024-11-18,Southern Province,Kamonyi,REG-ICT,Mobile Voice,Customer Care Unresponsive,Email,,69,,In Progress,10,
RURA-ICT-00226,02-11-2024,Northern Province,Burera,REG ICT,Mobile Money,Poor Network Quality,Call Center,Received unsolicited promotional SMS despite opt-out request.,82,Other,resolved,0,5
RURA-ICT-00101,2024-09-22,Northern Province,Burera,mtn rwanda,Fixed Internet,Billing Dispute,Web Portal,Customer care line not answering after multiple attempts.,18,male,Pending,,
RURA-ICT-00345,10-05-2023,Western Province,Nyamasheke,MTN RWANDA,Fixed Voice,Network Outage,Call Center,Billed for services not subscribed to.,18,male,resolved,20,4
RURA-ICT-00298,07-16-2024,Eastern Province,Kirehe,REG-ICT,SMS,Network Outage,Web Portal,Complainant charged twice for the same data bundle.,60,female,open,,3
RURA-ICT-00783,08-12-2024,Northern Province,Gicumbi,REG-ICT,Mobile Data/Internet,Customer Care Unresponsive,USSD,SIM card registered under wrong national ID.,76,Female,resolved,25,
RURA-ICT-00620,2023-10-03,Eastern Province,Kirehe,Liquid Telecom,Mobile Money,Data Bundle Deduction Issue,Walk-in,,72,Male,pending ,,
RURA-ICT-00193,2024-02-16,Kigali City,Kicukiro,REG ICT,Fixed Voice,Customer Care Unresponsive,Social Media,,84,Male,resolved,9,
RURA-ICT-00050,03/09/2023,Southern Province,Huye,MTN,Fixed Voice,Mobile Money Transaction Failure,Email,No network coverage since yesterday evening.,36,M,open,,5
RURA-ICT-00217,2023-09-20,Southern Province,Ruhango,mtn rwanda,Mobile Data/Internet,Mobile Money Transaction Failure,Web Portal,SIM card registered under wrong national ID.,22,,open,,4
RURA-ICT-00311,07-02-2023,Eastern Province,Kayonza,liquid telecom,Mobile Voice,Service Activation Delay,Social Media,Received unsolicited promotional SMS despite opt-out request.,21,Female,pending ,,
RURA-ICT-00616,21/11/2024,Southern Province,Kamonyi,,SMS,Network Outage,USSD,No network coverage since yesterday evening.,62,Male,Pending,,1
RURA-ICT-00065,16-Oct-2024,Eastern Province,Ngoma,REG-ICT,Mobile Voice,Unsolicited SMS/Spam,Email,Received suspicious SMS asking for mobile money PIN.,74,male,In Progress,12,1
RURA-ICT-00430,26-Jan-2023,Southern Province,Nyanza,Broadband Systems Corporation,Mobile Data/Internet,Service Activation Delay,USSD,Received suspicious SMS asking for mobile money PIN.,44,Other,open,,3
RURA-ICT-00276,19/12/2023,Kigali City,Gasabo,broadband systems,SMS,Poor Network Quality,Email,,81,Male,Closed,7,3
RURA-ICT-00824,14-Aug-2024,Eastern Province,Gatsibo,airtel rwanda,Mobile Data/Internet,Mobile Money Fraud/Scam,Call Center,Mobile money transfer deducted but recipient did not receive funds.,72,Female,Open,,4
RURA-ICT-00162,04-02-2023,Northern Province,Rulindo,broadband systems,SMS,Customer Care Unresponsive,Social Media,Customer reports repeated call drops in Rulindo.,57,,open,,
RURA-ICT-00804,2024-11-16,Southern Province,Gisagara,broadband systems,Fixed Internet,Customer Care Unresponsive,Call Center,Customer care line not answering after multiple attempts.,38,Female,Resolved,10,1
RURA-ICT-00006,09/03/2023,Western Province,Rusizi,Liquid Telecom Rwanda,Mobile Data/Internet,Network Outage,Email,Received suspicious SMS asking for mobile money PIN.,56,Female,resolved,12,4
RURA-ICT-00062,2024-05-14,Southern Province,Nyaruguru,mtn rwanda,Fixed Voice,Customer Care Unresponsive,Social Media,Billed for services not subscribed to.,46,male,Resolved,23,
RURA-ICT-00029,2024-02-20,Eastern Province,Gatsibo,broadband systems,Fixed Voice,Billing Dispute,USSD,Received suspicious SMS asking for mobile money PIN.,42,,In Progress,19,4
RURA-ICT-00588,09-03-2023,Eastern Province,Kirehe,liquid telecom,Fixed Internet,SIM Registration Issue,Email,SIM card registered under wrong national ID.,64,M,Resolved,27,1
RURA-ICT-00649,03/06/2023,Northern Province,Gicumbi,Airtel Rwanda,Mobile Data/Internet,Poor Network Quality,Call Center,Internet speed far below advertised package.,33,male,In Progress,23,1
RURA-ICT-00305,2023-11-20,Eastern Province,Nyagatre,broadband systems,Mobile Data/Internet,Unsolicited SMS/Spam,Call Center,Customer care line not answering after multiple attempts.,,Female,pending ,,1
